ID,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1,Status
55,cf,Female,no,type1,Home,good,10,Business,113625,19.7,1.4,16671,240,no,no,yes,377128,typeB,owner,unsecured,4,157602,new,729,new,47,online,70.4,South,type1,15.77,1
56,ncf,Female,no,type3,Home,good,4,Commercial,293382,13.74,0.36,15862,300,yes,no,yes,527289,typeA,owner,unsecured,3,148958,none,389,existing,54,online,43.19,South,type1,30.05,1
57,ncf,Female,yes,type2,Home,bad,7,Commercial,308398,12.2,0.13,19087,180,no,no,yes,876226,typeB,owner,unsecured,1,118771,existing,772,new,21,offline,62.74,South,type1,12.47,0
58,cf,Male,yes,type2,Car,good,15,Business,495550,12.96,1.21,3176,300,yes,yes,no,756324,typeA,owner,unsecured,5,93022,none,628,existing,50,offline,79.05,South,type1,12.99,1
59,cf,Male,yes,type2,Home,good,2,Business,289333,12.56,0.57,4926,300,yes,yes,no,274946,typeA,tenant,unsecured,6,143080,new,642,existing,33,offline,43.96,West,type2,14.89,1
60,cf,Female,yes,type3,Home,bad,2,Commercial,331172,11.93,1.55,1603,180,yes,yes,no,476446,typeB,owner,unsecured,2,53512,existing,524,existing,26,online,71.2,South,type2,34.12,1
61,cf,Female,no,type2,Business,good,12,Commercial,303358,14.08,1.56,16634,180,yes,yes,no,700047,typeA,owner,secured,4,186617,none,649,existing,64,offline,58.67,West,type1,33.37,1
62,cf,Male,no,type2,Business,good,4,Business,429414,7.96,1.12,8696,180,yes,no,yes,386706,typeA,tenant,unsecured,6,154634,existing,688,new,44,offline,32.11,West,type1,38.95,1
63,cf,Male,yes,type3,Business,bad,7,Commercial,491231,10.45,0.41,9700,180,no,no,yes,293996,typeA,owner,secured,1,148563,new,699,none,65,offline,79.04,West,type1,33.49,1
64,cf,Female,yes,type2,Car,bad,7,Business,317411,8.26,0.8,19228,240,no,yes,no,608305,typeA,owner,unsecured,4,80898,new,578,existing,47,offline,76.39,South,type1,23.88,0
65,cf,Male,no,type1,Car,good,15,Commercial,447044,18.39,1.69,17180,300,no,no,yes,538328,typeB,owner,unsecured,1,140662,none,503,none,63,offline,38.62,South,type1,17.3,1
66,cf,Male,no,type1,Home,bad,9,Business,389125,11.95,1.65,5516,240,no,yes,yes,239910,typeB,owner,unsecured,4,114799,none,501,new,64,offline,62.2,West,type2,14.45,1
67,ncf,Male,yes,type2,Car,bad,10,Commercial,382585,9.09,1.15,19365,180,no,no,yes,768936,typeB,tenant,unsecured,6,118068,none,600,new,40,offline,29.65,South,type2,25.37,1
68,ncf,Male,no,type2,Car,good,6,Business,349202,8.22,0.63,8050,180,yes,yes,no,588506,typeB,owner,unsecured,1,134757,new,527,existing,60,offline,68.03,South,type1,15.61,1
69,ncf,Female,no,type1,Business,good,10,Business,148660,17.82,0.49,9453,240,yes,no,yes,488481,typeA,tenant,unsecured,4,130314,new,578,new,45,offline,26.15,South,type1,31.0,1
70,cf,Male,no,type2,Car,bad,9,Business,313217,9.86,1.08,12029,240,no,no,yes,751426,typeA,tenant,unsecured,6,133705,none,843,existing,43,offline,68.07,South,type1,11.62,0
71,ncf,Female,no,type1,Home,bad,6,Commercial,306893,18.44,1.4,5880,180,no,yes,yes,315476,typeB,owner,secured,5,182466,existing,658,none,36,online,42.57,South,type1,37.78,0
72,cf,Male,yes,type3,Business,bad,15,Commercial,188200,11.14,0.87,7849,240,yes,no,yes,319596,typeB,owner,secured,5,42808,new,580,new,32,offline,36.34,West,type2,27.95,1
73,cf,Male,yes,type2,Business,good,13,Business,451577,7.32,1.6,19563,240,yes,yes,no,422947,typeB,tenant,unsecured,4,97052,none,399,existing,32,online,46.2,West,type1,16.54,1
74,cf,Male,yes,type3,Home,good,11,Commercial,373786,9.52,0.41,15716,300,yes,yes,no,671966,typeB,owner,secured,1,111795,none,708,new,24,online,65.55,West,type2,26.56,1
75,ncf,Male,no,type1,Home,good,9,Commercial,329011,16.77,1.07,7248,180,yes,yes,yes,585643,typeA,owner,unsecured,5,57463,none,613,none,56,offline,58.49,West,type1,22.03,0
76,ncf,Male,no,type3,Car,bad,14,Commercial,335314,18.71,0.37,3278,180,no,no,no,775369,typeB,tenant,secured,1,142751,new,333,none,29,offline,67.52,West,type2,21.46,1
77,ncf,Male,yes,type3,Home,good,9,Business,338623,19.66,0.4,10738,300,no,yes,yes,241477,typeA,owner,secured,4,199001,new,590,new,65,online,66.96,West,type2,25.24,1
78,ncf,Male,no,type1,Car,good,8,Business,310438,19.52,1.21,2877,180,yes,yes,no,566695,typeA,owner,secured,2,146564,existing,548,new,62,offline,24.37,South,type2,13.64,1
79,ncf,Female,no,type2,Business,good,2,Commercial,145978,19.55,1.93,11879,240,no,yes,yes,396276,typeA,tenant,secured,5,133364,existing,487,existing,59,offline,71.52,South,type1,35.12,1
80,ncf,Male,yes,type1,Business,bad,15,Business,405673,8.6,1.59,6222,300,yes,no,no,625745,typeB,owner,unsecured,2,192871,new,594,existing,28,online,41.08,South,type1,28.32,1
81,ncf,Male,yes,type3,Home,bad,13,Commercial,156752,18.81,1.02,11447,300,no,yes,no,893243,typeA,tenant,secured,6,130214,existing,659,existing,64,online,76.57,South,type2,14.03,1
82,cf,Female,yes,type3,Home,good,13,Commercial,313680,16.99,0.8,15281,180,no,yes,yes,223395,typeB,owner,secured,3,77035,none,849,existing,22,offline,77.43,South,type2,33.84,0
83,ncf,Male,yes,type2,Home,bad,9,Business,203292,16.7,1.26,6107,240,no,yes,no,658471,typeB,tenant,secured,1,98206,new,640,none,23,offline,43.7,South,type2,22.56,1
84,cf,Female,yes,type3,Business,good,5,Business,297143,13.82,1.64,7760,240,yes,yes,no,754076,typeB,tenant,unsecured,4,150213,existing,555,existing,34,offline,72.59,West,type2,35.4,1
85,cf,Female,yes,type3,Business,good,4,Commercial,442801,14.97,1.13,8490,300,yes,no,yes,282973,typeA,owner,unsecured,5,131226,none,669,none,59,online,32.32,South,type2,35.56,1
86,ncf,Male,yes,type2,Car,bad,7,Business,382235,16.11,1.12,17921,300,no,yes,no,770161,typeB,tenant,unsecured,2,94504,new,727,none,60,online,59.44,South,type2,15.23,1
87,cf,Male,yes,type2,Car,good,11,Commercial,184655,7.21,0.83,19139,180,yes,no,no,748974,typeA,owner,secured,2,103985,none,624,new,70,offline,35.65,West,type1,12.47,1
88,ncf,Female,no,type2,Business,bad,5,Business,484164,15.72,1.51,9283,180,yes,no,no,722405,typeB,tenant,unsecured,3,123268,none,587,none,30,offline,51.52,West,type2,10.7,0
89,ncf,Female,no,type2,Home,bad,6,Business,325202,13.99,1.23,2355,180,yes,yes,yes,874263,typeA,tenant,secured,6,162347,existing,643,existing,26,offline,46.25,South,type1,22.06,1
90,cf,Male,no,type3,Car,bad,11,Commercial,149250,13.75,0.69,7019,180,yes,no,no,344488,typeB,tenant,secured,4,162987,none,552,none,45,online,72.3,South,type1,20.11,1
91,cf,Female,no,type2,Car,bad,9,Business,276901,15.96,1.03,11982,300,yes,yes,no,668974,typeB,tenant,secured,5,190042,none,833,none,68,online,54.1,West,type2,23.22,1
92,cf,Female,yes,type1,Business,good,13,Commercial,493765,13.62,1.06,2275,240,no,no,yes,413174,typeA,tenant,unsecured,1,110036,existing,701,existing,32,online,48.41,South,type1,27.82,0
93,cf,Male,no,type2,Car,good,14,Commercial,153730,17.33,0.45,18811,240,no,no,no,676507,typeB,tenant,unsecured,4,145111,none,468,new,25,offline,28.65,West,type1,22.91,1
94,cf,Male,yes,type3,Car,bad,4,Commercial,356744,8.46,1.41,9497,180,yes,yes,no,697160,typeB,owner,secured,5,162472,existing,709,new,70,offline,60.24,West,type1,26.91,1
95,ncf,Female,no,type2,Business,good,15,Business,468500,19.18,0.73,3332,300,no,yes,no,413131,typeA,owner,unsecured,5,164321,new,589,existing,60,online,40.15,West,type2,15.46,1
96,ncf,Female,no,type3,Business,bad,2,Commercial,361771,13.93,1.12,9808,240,yes,yes,yes,779241,typeB,owner,secured,6,164751,existing,763,none,35,offline,60.99,West,type2,11.89,1
97,ncf,Male,yes,type2,Business,good,4,Commercial,329600,12.71,1.75,15365,180,no,yes,yes,383207,typeA,owner,unsecured,2,136234,none,339,none,28,offline,60.62,West,type1,23.27,1
98,cf,Male,yes,type2,Business,good,6,Commercial,416237,13.34,1.71,6157,240,no,yes,yes,516959,typeA,owner,unsecured,3,87349,existing,797,existing,23,online,66.11,West,type2,28.48,1
99,cf,Male,no,type3,Business,good,11,Commercial,246054,10.44,0.61,1670,300,yes,no,yes,399696,typeA,tenant,secured,6,116798,new,815,none,28,online,51.17,South,type2,38.09,0
100,ncf,Female,no,type2,Home,bad,12,Commercial,131775,10.41,0.62,1953,300,yes,no,yes,339611,typeB,tenant,secured,6,113208,existing,843,existing,21,offline,38.91,South,type1,14.85,1
